Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2, BT3, BT4, BT5, BT6, BT7",keystone 254 18650,7,Battery_Cell,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C4, C5, C6, C7, C8, C9",0805,30,C,
C10M1,0805,1,0.47u,
"C11M1, C12M1, C13M1",0805,3,22n,
"C14M1, C15M1, C9M1",0805,3,100p,
C16M1,0805,1,2.2u,
"C1M1, C2M1, C3M1, C4M1, C5M1, C6M1, C7M1",0805,7,220n,
C8M1,0805,1,1u,
"D1, D2",0805,2,D_Schottky,
F1,Fuseholder_Blade_Mini_Keystone_3568,1,Fuse,
"IC1, IC2, IC3, IC4, IC5, IC6",MP2639AGRZ,6,MP2643,
IC7,Texas_PHP0048E_HTQFP-48-1EP_7x7mm_P0.5mm_EP6.5x6.5mm_Mask3.62x3.62mm,1,BQ7694204PFBR,
"J1, J5",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Socket,
J2,XT60,1,Conn_01x02_Socket,
J3,JST_XH_S14B-XH-A-1_1x14_P2.50mm_Horizontal,1,Conn_01x14_Socket,
J4,JST_XH_B13B-XH-A_1x13_P2.50mm_Vertical,1,Conn_01x13_Socket,
K1,3_3v relay,1,J107F1CS203VDC.80,
"L1, L2, L3, L4, L5, L6",MPLAL4020R47 Inductor,6,L,
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOP254P675X240-4N,12,FODM121,
"Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q20, Q21, Q22, Q23, Q24, Q25",SOT-23,13,2N7002,
"R1, R11, R12, R13, R14, R15, R16, R18, R19, R2, R20, R21, R22, R23, R25, R26, R27, R28, R29, R30, R32, R33, R34, R35, R36, R37, R39, R4, R40, R41, R42, R5, R6, R7, R8, R9",0805,36,R,
"R10, R17, R24, R3, R31, R38, R58, R59",0805,8,0,
"R10M1, R11M1",0805,2,150,
"R13M1, R14M1, R9M1",0805,3,100,
"R1M1, R2M1, R3M1, R4M1, R5M1, R6M1, R7M1, R8M1",0805,8,20,
R1_P1,1210,1,R,
"R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54",0805,12,720,
"R55, R56, R57, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72",0805,16,10K,
"TH1, TH2, TH3",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,3,Thermistor,
U1,Teensy40_SMT,1,Teensy4.0,
